direction	xi	N
105	-1.212245E+01	7.000000E+01
110	-1.212245E+01	7.300000E+01
115	-1.212245E+01	6.700000E+01
120	-1.212245E+01	6.900000E+01
125	-1.212245E+01	8.200000E+01
130	-1.212245E+01	8.900000E+01
135	-1.212245E+01	8.300000E+01
140	-1.212245E+01	7.600000E+01
145	-1.212245E+01	7.500000E+01
150	-1.212245E+01	9.300000E+01
155	-1.212245E+01	8.800000E+01
160	-1.212245E+01	1.090000E+02
165	-1.212245E+01	1.020000E+02
170	-1.212245E+01	1.150000E+02
175	-1.212245E+01	1.140000E+02
0	-1.138776E+01	1.070000E+02
5	-1.138776E+01	9.600000E+01
10	-1.138776E+01	1.140000E+02
15	-1.138776E+01	1.180000E+02
20	-1.138776E+01	1.210000E+02
25	-1.138776E+01	1.130000E+02
30	-1.138776E+01	1.070000E+02
35	-1.138776E+01	9.100000E+01
40	-1.138776E+01	8.400000E+01
45	-1.138776E+01	9.700000E+01
50	-1.138776E+01	8.800000E+01
55	-1.138776E+01	8.600000E+01
60	-1.138776E+01	9.100000E+01
65	-1.138776E+01	8.500000E+01
70	-1.138776E+01	8.500000E+01
75	-1.138776E+01	9.300000E+01
80	-1.138776E+01	9.200000E+01
85	-1.138776E+01	8.100000E+01
90	-1.138776E+01	7.200000E+01
95	-1.138776E+01	6.700000E+01
100	-1.138776E+01	7.300000E+01
105	-1.138776E+01	7.900000E+01
110	-1.138776E+01	7.500000E+01
115	-1.138776E+01	9.300000E+01
120	-1.138776E+01	1.030000E+02
125	-1.138776E+01	1.010000E+02
130	-1.138776E+01	1.010000E+02
135	-1.138776E+01	9.600000E+01
140	-1.138776E+01	9.200000E+01
145	-1.138776E+01	8.900000E+01
150	-1.138776E+01	8.600000E+01
155	-1.138776E+01	1.070000E+02
160	-1.138776E+01	1.130000E+02
165	-1.138776E+01	1.160000E+02
170	-1.138776E+01	1.120000E+02
175	-1.138776E+01	1.070000E+02
0	-1.065306E+01	1.160000E+02
5	-1.065306E+01	1.200000E+02
10	-1.065306E+01	1.200000E+02
15	-1.065306E+01	1.260000E+02
20	-1.065306E+01	1.410000E+02
25	-1.065306E+01	1.270000E+02
30	-1.065306E+01	1.160000E+02
35	-1.065306E+01	1.090000E+02
40	-1.065306E+01	1.060000E+02
45	-1.065306E+01	9.200000E+01
50	-1.065306E+01	9.400000E+01
55	-1.065306E+01	9.800000E+01
60	-1.065306E+01	9.300000E+01
65	-1.065306E+01	8.900000E+01
70	-1.065306E+01	8.800000E+01
75	-1.065306E+01	9.400000E+01
80	-1.065306E+01	9.000000E+01
85	-1.065306E+01	9.000000E+01
90	-1.065306E+01	8.700000E+01
95	-1.065306E+01	8.600000E+01
100	-1.065306E+01	8.800000E+01
105	-1.065306E+01	8.600000E+01
110	-1.065306E+01	9.600000E+01
115	-1.065306E+01	1.050000E+02
120	-1.065306E+01	1.010000E+02
125	-1.065306E+01	1.120000E+02
130	-1.065306E+01	1.150000E+02
135	-1.065306E+01	1.120000E+02
140	-1.065306E+01	1.180000E+02
145	-1.065306E+01	1.030000E+02
150	-1.065306E+01	1.070000E+02
155	-1.065306E+01	1.180000E+02
160	-1.065306E+01	1.050000E+02
165	-1.065306E+01	1.120000E+02
170	-1.065306E+01	1.000000E+02
175	-1.065306E+01	1.230000E+02
0	-9.918367E+00	1.510000E+02
5	-9.918367E+00	1.360000E+02
10	-9.918367E+00	1.270000E+02
15	-9.918367E+00	1.310000E+02
20	-9.918367E+00	1.400000E+02
25	-9.918367E+00	1.440000E+02
30	-9.918367E+00	1.190000E+02
35	-9.918367E+00	1.160000E+02
40	-9.918367E+00	1.100000E+02
45	-9.918367E+00	1.040000E+02
50	-9.918367E+00	1.050000E+02
55	-9.918367E+00	9.700000E+01
60	-9.918367E+00	1.030000E+02
65	-9.918367E+00	8.500000E+01
70	-9.918367E+00	9.000000E+01
75	-9.918367E+00	1.000000E+02
80	-9.918367E+00	9.900000E+01
85	-9.918367E+00	1.020000E+02
90	-9.918367E+00	1.040000E+02
95	-9.918367E+00	1.050000E+02
100	-9.918367E+00	9.500000E+01
105	-9.918367E+00	1.060000E+02
110	-9.918367E+00	1.120000E+02
115	-9.918367E+00	9.500000E+01
120	-9.918367E+00	9.100000E+01
125	-9.918367E+00	1.170000E+02
130	-9.918367E+00	1.210000E+02
135	-9.918367E+00	1.230000E+02
140	-9.918367E+00	1.260000E+02
145	-9.918367E+00	1.390000E+02
150	-9.918367E+00	1.360000E+02
155	-9.918367E+00	1.180000E+02
